,educ,docc03,wageotc,count,wbhaom,female,region,age,citistat
87,High school,Personal care and service occupations,9.0,10927.3505859375,Hispanic,Male,South,<25 yr,"Foreign born, naturalized US citizen"
88,Some college,Office and administrative support occupations,14.288668008055515,1447849.2893066406,White,Female,South,<25 yr,"Native, born in US"
89,High school,Office and administrative support occupations,21.89849506536517,2546069.8299560547,White,Female,South,55-65 yr,"Native, born in US"
90,Some college,Management occupations,19.94959573540832,341041.1268310547,White,Male,South,<25 yr,"Native, born in US"
91,Some college,Healthcare support occupations,14.212241277894528,707933.0461425781,White,Female,South,<25 yr,"Native, born in US"
92,Advanced,Protective service occupations,13.064130152916288,21252.23583984375,White,Male,South,65+ yr,"Native, born in US"
93,Some college,Healthcare support occupations,18.83272137166051,762117.4626464844,White,Female,South,25-35 yr,"Native, born in US"
94,High school,Construction and extraction occupations,25.47989770402304,68313.66845703125,Black,Male,South,65+ yr,"Native, born in US"
95,Some college,Office and administrative support occupations,22.133934259535522,2302954.048095703,White,Female,South,45-55 yr,"Native, born in US"
96,Some college,Protective service occupations,30.281341463515314,446531.1531982422,White,Male,South,45-55 yr,"Native, born in US"
97,Some college,Management occupations,34.81563073347052,1004645.9504394531,White,Male,South,25-35 yr,"Native, born in US"
98,College,Community and social service occupations,39.10784311627344,105997.9091796875,White,Male,South,<25 yr,"Native, born in US"
99,Some college,Construction and extraction occupations,28.88145250679265,870626.0324707031,White,Male,South,35-45 yr,"Native, born in US"
100,College,Healthcare practitioner and technical occupations,33.46033714561001,1725691.0168457031,White,Female,South,25-35 yr,"Native, born in US"
101,High school,Sales and related occupations,25.654611216826925,1070269.7858886719,White,Male,South,25-35 yr,"Native, born in US"
102,Some college,"Arts, design, entertainment, sports, and media occupations",17.297316561765296,59694.4345703125,Black,Male,South,25-35 yr,"Native, born in US"
103,College,Computer and mathematical science occupations,36.72938823735711,284640.00842285156,White,Female,South,35-45 yr,"Native, born in US"
104,Some college,"Installation, maintenance, and repair occupations",19.771544072112054,725604.80859375,White,Male,South,<25 yr,"Native, born in US"
105,Some college,Food preparation and serving related occupations,13.376414046289737,873600.1176757812,White,Male,South,<25 yr,"Native, born in US"
106,Some college,Office and administrative support occupations,14.097145639159798,663166.5285644531,White,Male,South,<25 yr,"Native, born in US"
107,High school,Sales and related occupations,23.226944945787494,288957.81689453125,White,Male,South,65+ yr,"Native, born in US"
108,Some college,"Installation, maintenance, and repair occupations",26.619390218386542,27052.26953125,Asian,Male,South,45-55 yr,"Foreign born, naturalized US citizen"
109,Some college,Transportation and material moving occupations,22.615474857669014,25383.63916015625,Asian,Female,South,<25 yr,"Foreign born, naturalized US citizen"
110,College,"Education, training, and library occupations",35.398298960144764,549911.1462402344,White,Male,South,45-55 yr,"Native, born in US"
111,Advanced,Computer and mathematical science occupations,41.33887408911105,177192.0047607422,White,Female,South,25-35 yr,"Native, born in US"
112,College,Community and social service occupations,25.258854181502933,191181.83032226562,Black,Female,South,25-35 yr,"Native, born in US"
113,College,Sales and related occupations,36.23670078051911,563676.7403564453,White,Female,South,55-65 yr,"Native, born in US"
114,Less than high school,Transportation and material moving occupations,15.515600627984998,185731.3212890625,White,Male,South,65+ yr,"Native, born in US"
115,Some college,Production occupations,24.698902363077387,205595.0234375,Black,Male,South,45-55 yr,"Native, born in US"
116,College,Construction and extraction occupations,28.925140841642616,200851.21435546875,Hispanic,Male,South,35-45 yr,"Foreign born, not a US citizen"
117,College,Building and grounds cleaning and maintenance occupations,11.476189434580668,74663.98046875,Hispanic,Female,South,35-45 yr,"Foreign born, not a US citizen"
118,Less than high school,Management occupations,23.059999465942383,12285.08203125,Multiple races,Female,South,35-45 yr,"Native, born in US"
119,Some college,"Installation, maintenance, and repair occupations",22.81117520022661,36596.857421875,Multiple races,Male,South,35-45 yr,"Native, born in US"
120,High school,Office and administrative support occupations,18.77510742870435,231033.814453125,Black,Male,South,<25 yr,"Native, born in US"
121,High school,Production occupations,23.58655274388169,1108906.4760742188,White,Male,South,35-45 yr,"Native, born in US"
122,College,Office and administrative support occupations,24.35191395076188,1167158.8299560547,White,Female,South,35-45 yr,"Native, born in US"
123,Some college,Production occupations,18.325035850678958,434131.0671386719,White,Male,South,<25 yr,"Native, born in US"
124,High school,Building and grounds cleaning and maintenance occupations,13.085166569703707,211973.6785888672,Black,Female,South,55-65 yr,"Native, born in US"
125,High school,Sales and related occupations,14.107953369606014,279797.09423828125,Black,Female,South,35-45 yr,"Native, born in US"
126,Less than high school,Transportation and material moving occupations,13.81516204531249,155176.9052734375,Hispanic,Male,South,45-55 yr,"Foreign born, not a US citizen"
127,Less than high school,Personal care and service occupations,13.794296557499658,16021.531005859375,White,Female,South,55-65 yr,"Native, born in US"
128,College,Protective service occupations,33.67746515411969,170428.06689453125,White,Male,South,55-65 yr,"Native, born in US"
129,High school,Production occupations,24.575089673041987,1288071.1313476562,White,Male,South,45-55 yr,"Native, born in US"
130,High school,Management occupations,37.717023979576766,915628.7454833984,White,Male,South,45-55 yr,"Native, born in US"
131,Some college,Personal care and service occupations,15.40772226017368,244121.24926757812,White,Female,South,45-55 yr,"Native, born in US"
132,High school,Production occupations,21.377286932508444,381350.7635498047,White,Female,South,55-65 yr,"Native, born in US"
133,Some college,Protective service occupations,27.659520439155315,593043.7758789062,White,Male,South,35-45 yr,"Native, born in US"
134,Some college,Management occupations,23.89438937275664,769969.794921875,White,Female,South,25-35 yr,"Native, born in US"
135,Some college,Production occupations,27.27556168959234,116558.77612304688,White,Male,South,65+ yr,"Native, born in US"
136,High school,Office and administrative support occupations,22.723021946156067,765644.7966308594,White,Female,South,65+ yr,"Native, born in US"
137,High school,Transportation and material moving occupations,16.535434014539923,1587568.3654785156,White,Male,South,<25 yr,"Native, born in US"
138,High school,Healthcare practitioner and technical occupations,29.594346433382412,43546.3818359375,White,Male,South,45-55 yr,"Native, born in US"
139,High school,Building and grounds cleaning and maintenance occupations,14.907309665110827,511710.6096191406,White,Male,South,<25 yr,"Native, born in US"
140,High school,Construction and extraction occupations,27.613803761274152,1243788.0444335938,White,Male,South,45-55 yr,"Native, born in US"
141,Some college,Building and grounds cleaning and maintenance occupations,22.290878197952583,58373.1865234375,Black,Female,South,<25 yr,"Native, born in US"
142,Some college,Sales and related occupations,33.115767444121566,1037792.8830566406,White,Male,South,55-65 yr,"Native, born in US"
143,High school,"Education, training, and library occupations",13.747730156129967,41628.42492675781,Black,Female,South,55-65 yr,"Native, born in US"
144,College,Protective service occupations,22.12909365304233,42609.22412109375,Black,Male,South,55-65 yr,"Native, born in US"
145,Some college,Healthcare practitioner and technical occupations,30.905697976984,1403313.4140625,White,Female,South,45-55 yr,"Native, born in US"
146,Some college,Healthcare practitioner and technical occupations,29.381705403844265,1576881.439453125,White,Female,South,35-45 yr,"Native, born in US"
147,Some college,Management occupations,25.268367155116803,187648.46923828125,Black,Female,South,35-45 yr,"Native, born in US"
148,High school,Production occupations,18.47689080225705,877741.3256835938,White,Male,South,<25 yr,"Native, born in US"
149,Some college,Transportation and material moving occupations,26.319458616888976,666612.6833496094,White,Male,South,55-65 yr,"Native, born in US"
150,Some college,Healthcare support occupations,14.66427428152168,623648.0766601562,Black,Female,South,25-35 yr,"Native, born in US"
151,College,"Education, training, and library occupations",31.397585263952408,264911.66162109375,Black,Male,South,25-35 yr,"Native, born in US"
152,High school,"Education, training, and library occupations",19.19694765690307,113644.55249023438,White,Female,South,45-55 yr,"Native, born in US"
153,Some college,Sales and related occupations,13.843361573936846,1471027.0528564453,White,Female,South,<25 yr,"Native, born in US"
154,College,Production occupations,28.87606333090176,233621.78588867188,White,Male,South,55-65 yr,"Native, born in US"
155,Less than high school,Production occupations,13.926457859543056,54157.79736328125,Black,Female,South,55-65 yr,"Native, born in US"
156,Advanced,Office and administrative support occupations,26.539631670240553,235435.65966796875,White,Female,South,55-65 yr,"Native, born in US"
157,College,Sales and related occupations,31.30058438434315,1107286.0401611328,White,Female,South,25-35 yr,"Native, born in US"
158,Some college,Healthcare support occupations,14.739276229832756,102965.32568359375,White,Female,South,65+ yr,"Native, born in US"
159,Some college,"Installation, maintenance, and repair occupations",16.0,8379.1630859375,Asian,Male,South,45-55 yr,"Native, born in Puerto Rico or other US island areas"
160,Less than high school,Production occupations,15.00138739418006,91217.1484375,White,Female,South,35-45 yr,"Native, born in US"
161,High school,Construction and extraction occupations,29.710885471594338,1422769.1042480469,White,Male,South,35-45 yr,"Native, born in US"
162,High school,Sales and related occupations,30.70985595879798,849133.5275878906,White,Male,South,55-65 yr,"Native, born in US"
163,Some college,"Farming, fishing, and forestry occupations",14.08849357219001,63449.53466796875,White,Male,South,<25 yr,"Native, born in US"
164,College,Personal care and service occupations,8.0,9246.4140625,White,Female,South,<25 yr,"Native, born abroad with American parent(s)"
165,High school,Production occupations,26.560752674670198,1210401.6333007812,White,Male,South,55-65 yr,"Native, born in US"
166,Less than high school,Production occupations,14.389263120375798,62842.08154296875,White,Female,South,55-65 yr,"Native, born in US"
167,Less than high school,Production occupations,12.735048360434424,26623.7099609375,Black,Female,South,25-35 yr,"Native, born in US"
168,Advanced,"Education, training, and library occupations",32.73210684620208,1307983.6508789062,White,Female,South,55-65 yr,"Native, born in US"
169,Advanced,Management occupations,47.54801603526617,1251520.816772461,White,Female,South,35-45 yr,"Native, born in US"
170,Advanced,Sales and related occupations,53.87177913736999,124129.84619140625,White,Female,South,45-55 yr,"Native, born in US"
171,High school,Transportation and material moving occupations,9.0,8241.64453125,White,Female,South,65+ yr,"Native, born abroad with American parent(s)"
172,High school,Construction and extraction occupations,20.353920162572877,1162328.79296875,White,Male,South,<25 yr,"Native, born in US"
173,High school,Healthcare practitioner and technical occupations,22.040675865046445,173057.3671875,White,Female,South,35-45 yr,"Native, born in US"
174,Advanced,Healthcare practitioner and technical occupations,75.66782933973755,540192.6831054688,White,Male,South,35-45 yr,"Native, born in US"
175,High school,Personal care and service occupations,15.233885688276374,59449.10400390625,White,Male,South,35-45 yr,"Native, born in US"
176,Advanced,"Education, training, and library occupations",34.36907217056109,2387523.8896484375,White,Female,South,45-55 yr,"Native, born in US"
177,College,Healthcare practitioner and technical occupations,47.81163130128061,209950.69653320312,White,Male,South,45-55 yr,"Native, born in US"
178,Some college,Sales and related occupations,19.205585239774773,1033365.2270507812,White,Female,South,25-35 yr,"Native, born in US"
179,Some college,Sales and related occupations,24.98616749876768,907128.3564453125,White,Male,South,25-35 yr,"Native, born in US"
180,Less than high school,Transportation and material moving occupations,19.305106451355424,204667.14868164062,White,Male,South,35-45 yr,"Native, born in US"
181,Some college,Construction and extraction occupations,30.00543990683885,511795.3543701172,White,Male,South,55-65 yr,"Native, born in US"
182,Advanced,Architecture and engineering occupations,51.36220191094231,163083.9278564453,White,Male,South,35-45 yr,"Native, born in US"
183,College,Management occupations,51.51337967588219,1168627.3061523438,White,Female,South,55-65 yr,"Native, born in US"
184,Advanced,Healthcare practitioner and technical occupations,43.80088032271637,871497.4677734375,White,Female,South,45-55 yr,"Native, born in US"
185,Some college,Production occupations,26.05097736960515,823778.8317871094,White,Male,South,55-65 yr,"Native, born in US"
186,High school,Transportation and material moving occupations,15.605001156564516,129639.15991210938,White,Female,South,65+ yr,"Native, born in US"
187,Some college,Management occupations,27.416492528100903,1001302.6744384766,White,Female,South,35-45 yr,"Native, born in US"
188,High school,Construction and extraction occupations,24.043072170790133,1693395.7709960938,White,Male,South,25-35 yr,"Native, born in US"
189,College,Management occupations,34.05198060831775,1650329.4549560547,White,Female,South,25-35 yr,"Native, born in US"
190,Some college,"Installation, maintenance, and repair occupations",29.838890874153435,1016487.0791015625,White,Male,South,35-45 yr,"Native, born in US"
191,College,Healthcare practitioner and technical occupations,38.43328968226392,1336054.6236572266,White,Female,South,35-45 yr,"Native, born in US"
192,Some college,"Installation, maintenance, and repair occupations",25.09881769831243,1201306.2353515625,White,Male,South,25-35 yr,"Native, born in US"
193,Some college,Food preparation and serving related occupations,31.849819101896824,41805.2685546875,Hispanic,Female,South,45-55 yr,"Foreign born, naturalized US citizen"
194,High school,Sales and related occupations,14.946535921623566,1072892.630859375,White,Female,South,25-35 yr,"Native, born in US"
195,Some college,Healthcare practitioner and technical occupations,17.959523434427595,241331.57751464844,White,Male,South,<25 yr,"Native, born in US"
196,Some college,Personal care and service occupations,16.05045504138607,164136.24169921875,White,Female,South,65+ yr,"Native, born in US"
197,Some college,Personal care and service occupations,17.443004500650613,273034.2890625,White,Female,South,35-45 yr,"Native, born in US"
198,Some college,Healthcare practitioner and technical occupations,36.49131963269677,485777.8605957031,White,Female,West,35-45 yr,"Native, born in US"
199,Advanced,"Life, physical, and social science occupations",40.967633183653774,140539.11010742188,White,Male,West,35-45 yr,"Native, born in US"
200,College,Architecture and engineering occupations,40.660131548709046,129611.56945800781,White,Female,West,35-45 yr,"Native, born in US"
201,Some college,Building and grounds cleaning and maintenance occupations,13.889903430380182,70699.42053222656,White,Female,West,35-45 yr,"Native, born in US"
202,Advanced,Management occupations,73.48762387252872,1058161.1704101562,White,Male,West,45-55 yr,"Native, born in US"
203,Advanced,Architecture and engineering occupations,34.28953395311309,24943.177978515625,Asian,Female,West,45-55 yr,"Foreign born, not a US citizen"
204,Advanced,Community and social service occupations,32.35806839308931,166624.17333984375,White,Female,West,25-35 yr,"Native, born in US"
205,Some college,Legal occupations,27.13734578789571,52816.47058105469,White,Female,West,35-45 yr,"Native, born in US"
206,Advanced,Healthcare practitioner and technical occupations,51.69021453445425,307609.8430175781,White,Male,West,25-35 yr,"Native, born in US"
207,Some college,Sales and related occupations,26.295098439624866,527209.1076660156,White,Female,West,35-45 yr,"Native, born in US"
208,College,Healthcare practitioner and technical occupations,39.12217319100316,1022444.9072265625,White,Female,West,25-35 yr,"Native, born in US"
209,Less than high school,"Installation, maintenance, and repair occupations",18.510899241663083,20809.021240234375,White,Male,West,25-35 yr,"Native, born in US"
210,High school,Food preparation and serving related occupations,15.480118072091676,223760.84350585938,White,Female,West,25-35 yr,"Native, born in US"
211,Some college,Transportation and material moving occupations,22.980645713144312,592225.7117919922,White,Male,West,25-35 yr,"Native, born in US"
212,Advanced,Sales and related occupations,45.03831133499376,35334.9990234375,Asian,Male,West,35-45 yr,"Native, born in US"
213,Advanced,Management occupations,53.13646459743548,482530.21911621094,White,Female,West,25-35 yr,"Native, born in US"
214,College,Management occupations,57.42236362044261,929521.4739990234,White,Female,West,45-55 yr,"Native, born in US"
215,College,Management occupations,59.5235710942106,43004.296630859375,Multiple races,Male,West,35-45 yr,"Native, born in US"
216,College,Management occupations,67.22980351171837,50926.439697265625,White,Male,West,35-45 yr,"Foreign born, naturalized US citizen"
217,College,Business and financial operations occupations,38.86448242134125,949971.4765625,White,Female,West,25-35 yr,"Native, born in US"
218,Advanced,Management occupations,56.338582028390995,666980.7563476562,White,Female,West,35-45 yr,"Native, born in US"
219,High school,"Installation, maintenance, and repair occupations",33.20013696142727,513915.20349121094,White,Male,West,45-55 yr,"Native, born in US"
220,Some college,Office and administrative support occupations,22.472836697759178,1099203.1297607422,White,Female,West,35-45 yr,"Native, born in US"
221,College,Computer and mathematical science occupations,68.40577041783803,127401.57104492188,White,Female,West,55-65 yr,"Native, born in US"
222,College,Office and administrative support occupations,22.89492585735226,7479.9912109375,Native American,Male,West,55-65 yr,"Native, born in US"
223,Advanced,Protective service occupations,52.995325539735134,56884.225830078125,White,Male,West,55-65 yr,"Native, born in US"
224,Advanced,Healthcare practitioner and technical occupations,46.92182585185551,1081485.107788086,White,Female,West,25-35 yr,"Native, born in US"
225,College,Healthcare practitioner and technical occupations,42.15823945853739,539225.9703369141,White,Female,West,55-65 yr,"Native, born in US"
226,High school,Office and administrative support occupations,22.090829710050425,663164.8449707031,White,Female,West,25-35 yr,"Native, born in US"
227,Some college,Production occupations,22.69031200988312,57448.50732421875,White,Female,West,25-35 yr,"Native, born in US"
228,Some college,Building and grounds cleaning and maintenance occupations,23.231866558865338,187789.7928466797,White,Male,West,35-45 yr,"Native, born in US"
229,Advanced,Legal occupations,97.02746689105336,244020.8770751953,White,Male,West,35-45 yr,"Native, born in US"
230,Advanced,"Education, training, and library occupations",30.256262351944986,921892.8823242188,White,Female,West,25-35 yr,"Native, born in US"
231,College,Management occupations,50.676462698924695,847597.9956665039,White,Female,West,55-65 yr,"Native, born in US"
232,Advanced,Office and administrative support occupations,40.277752283306754,12172.3466796875,White,Male,West,55-65 yr,"Native, born in US"
233,Advanced,"Education, training, and library occupations",54.62308474205064,424602.52111816406,White,Male,West,55-65 yr,"Native, born in US"
234,Some college,"Installation, maintenance, and repair occupations",36.196105433752976,499875.34814453125,White,Male,West,45-55 yr,"Native, born in US"
235,Some college,Construction and extraction occupations,32.513604710884856,6987.53662109375,Multiple races,Male,West,45-55 yr,"Native, born in US"
236,Some college,Healthcare practitioner and technical occupations,34.070131710379165,106876.64990234375,White,Male,West,45-55 yr,"Native, born in US"
237,Some college,"Installation, maintenance, and repair occupations",38.5,2258.7529296875,White,Male,West,<25 yr,"Native, born abroad with American parent(s)"
238,High school,Management occupations,40.86524963378906,2471.282958984375,Asian,Male,West,55-65 yr,"Native, born in US"
239,College,Office and administrative support occupations,24.930705792282136,760996.4616699219,White,Female,West,45-55 yr,"Native, born in US"
240,Some college,Construction and extraction occupations,38.44090316410441,7826.010986328125,Native American,Male,West,25-35 yr,"Native, born in US"
241,College,Business and financial operations occupations,67.30470092041257,741111.1870117188,White,Male,West,35-45 yr,"Native, born in US"
242,Some college,Healthcare support occupations,15.621772820882022,5636.603759765625,Hispanic,Male,West,<25 yr,"Foreign born, naturalized US citizen"
243,High school,Construction and extraction occupations,18.064729443002932,8071.298095703125,Asian,Male,West,25-35 yr,"Foreign born, naturalized US citizen"
244,High school,Office and administrative support occupations,18.082021320369847,25863.558837890625,Asian,Female,West,25-35 yr,"Foreign born, naturalized US citizen"
